"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R13,R12,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"330";;;
2;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"UDPI";;;
3;"J2";"PinHeader_1x02_P2.54mm_Horizontal";1;"Battery";;;
4;"JP1";"SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm";1;"Jumper_3_Open";;;
5;"C6,C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10u";;;
6;"C5,C1,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"100n";;;
7;"IC2";"WSSFM11R2DAT";1;"WSSFM11R2DAT";;;
8;"D1,D3,D4";"LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder";3;"LED_Small";;;
9;"J4";"SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount";1;"Conn_Coaxial";;;
10;"D2";"D_SOD-323_HandSoldering";1;"SD103";;;
11;"U3";"SOT-23-6";1;"MT3608";;;
12;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"220k";;;
13;"R9,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"100k";;;
14;"R10,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10k";;;
15;"IC1";"SOIC127P600X175-8N";1;"AS5600-ASOM";;;
16;"Q1";"TSOT-23-6";1;"DMC2053UVT";;;
17;"C7,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22u";;;
18;"R1,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"470";;;
19;"R5,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"2.2k";;;
20;"U2";"SSOP-20_5.3x7.2mm_P0.65mm";1;"ATtiny826-X";;;
21;"L1";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"4.7u";;;
22;"R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2k";;;
